"Koi wa Etude!","109169"
"Uso ka Makoto ka","145101"
"An Innocent Puppy Meets A Two-Faced Cat","101037"
"Kore ga Saigo no Koi no Hanashi","156323"
"Wolf Me Up","127961"
"Sating the Wolf","155098"
"Karamawari Weekend","156011"
"Houtou Musuko to Koi no Ana","125944"
"Namaiki Kareshi","96165"
"Chibi Demo Ii yo.","113048"
"Chiya's Just an Unstable Guy","132418"
"A House Near The Station with A Wizard","109391"
"Boukoku no Emanon","152641"
"Tsugai ni Narenai!","117741"
"Feigning Fox with a Face Full of Flowers","154137"
"Immoral Sandwich","105124"
"Let It Cry","103831"
"Dekiai Ouji no Shuuai","158045"
"Our Love Will Continue on in the Next Life","153251"
"The Alpha Doctor Falls In Love With a Guinea Pig","168013"
"Love at First Sight with Your Cute Nipples","156702"
"Nigashitakunai Aitsu wa Kiss mo Shiranai","152392"
"The Fallen Alpha","140259"
"My Dear Agent","145714"
"Dear My Boy","132681"
"My Assistant BF","165161"
"Instant Family","162294"
"Comes in Threes","158873"
"Being Raised by Villains","158905"
"Mask Danshi: This Shouldn't Lead to Love","128978"
"Sleep Tight, My Sweet Mashiro","156237"
"My Sneaky Childhood Friend Won't Let Me Get Away","145201"
"The Villainess and the Demon Knight","147095"
"Sir, It's Time for You to Kneel","159032"
"New World Lovetopia","158798"
"Getting Thrown Out is Going Better Than Expected","155787"
"Resigning as the Villainess","148411"
"The Archduke's Adopted Saint","159208"
"The Villainess's Bestie","151118"
"The Other World's Books Depend on the Bean Counter","132378"
"The Beloved Imperial Bride","148893"
"Black Eagle in the Sahara","132518"
"Lip Line wa Kiss de Midashite","148053"
"Osananajimi ja Gaman Dekinai","144109"
"Office no Hyou","144001"
"Tell Us How You Really Feel, Demon Prince!","143471"
"Fuck Buddy for the Bottom Boy","159215"
"Pittosporum","157698"
"Boku wa Mada Kamenai","157647"
"It Begins with Goodbye","95087"
"Te wo Nobashitara, Tsubasa","144069"
"I Should Not Love You","42053"
"Sugar Dog Life","128118"
"Crush and Burn","152175"
"A Rebel Priest Taming A Vampire","159676"
"Sweetie Agape","143851"
"Derail","143129"
"Yojouhan no Ibarahime","156218"
"Chotto Matou yo, Harutora-kun","154693"
"The Baby Dragon Tames the Crazy People","159872"
"Lord Baby Runs a Romance Fantasy With Cash","160117"
"Can a Demonic Teacher Be This Lewd?","168758"
"To You in the Swamp","164024"
"Can't Think Straight","154660"
"Faker","160808"
"It's the First Time for Both of Us!","160668"
"Himitsu ni Shiro yo!!","107726"
"Who Made Me a Princess","121269"
"All I Think About Is You","137819"
"Renai Houteishiki","12388"
"I'm an Omega and It's All My Fault: Picked Up After School","128152"
"Ai da, Koi dano Shouhosen","158653"
"Brothers Taking Things Too Far","132637"
"Bungo Stray Dogs","98380"
"Let's Live Together","14406"
"I Will Become the Villain's Poison Taster","166450"
"Beloved by My In-Laws","162487"
"The Blooming Baby Boss Lady","166062"
"Contract Marrying Because I Am Terminally Ill","170153"
"I Became the Young Villain's Sister-In-Law","166164"
"The Wirepuller Gets Lucky in Happier Years","167183"
"Lottery Princess","151901"
"I'm Not the Final Boss' Lover!","166984"
"Beasts of Desire","163798"
"Neighbor Guild Member","163877"
"The Bird Empress","169968"
"Ookami-kun wa Suki ga Kakusenai","168748"
"Baby Pharmacist Princess","160694"
"Peony: Dreaming of the Dangerous Grand Duke","166185"
"How to survive as a maid in a horror game","161762"
"The Contracted Grand Duchess","165250"
"I'm the Corrupted Side Character's Wife","160081"
"For My Derelict Favorite","150164"
"The Age of Arrogance","162408"
"Holding You Captive","164782"
"I'm a Villainess with a Handsome Husband","165516"
"Ore no Koigokoro ga Moteasobareteimasu","163534"
"Assassin & Cinderella","150994"
"The Quiet Game","165490"
"Slammer Dogs","168259"
"I'm the Heiress of a Villainous Household","168224"
"My Lover's Personality Is a Little Strange","168669"
"Beloved by the Male Lead's Nephew","161625"
"Childcare Diary With the Villain","169437"
"Charming the Duke of the North","149872"
"I'm Nobody's Shadow","157098"
"To My Husband's Mistress","163632"
"I Became the Tyrant's Dishonest Adviser","166166"
"Naisho no Stalker-san","168901"
"Stuck With the Protagonist","157823"
"Snow Mountain Monster Princess","168953"
"The Young Emperor is Obsessed With Me","167858"
"Caught by the Villain","147725"
"As Leticia Wishes","168060"
"The Villain's Daughter Plans to Run Away","168847"
"I Don't Need A Proposal","159197"
"Post-Possession Damage Control","160688"
"Teikoku Gunjin no Hanagurui","168750"
"Fucked by My Best Friend","128164"
"Just Leave Me Be","147713"
"Finding Camellia","151362"
"Adopted by a Murderous Duke Family","168703"
"No Love Zone","137546"
"The Villainess Flips the Script!","149161"
"I Adopted the Male Lead from the Shelter","166496"
"I Got Stuck Teaching an Airhead Novelist About Love","168272"
"Agasa-kun wa Yandeiru.","169160"
"My Little Villainess","169969"
"Chirijiri Yuku no","170128"
"You Are Obsessing Over the Wrong Person, Lord of the Tower!","168832"
"I Became the Mother of the Evil Male Lead","166178"
"I Thought I Tamed the Villain","169005"
"My Beloved Oppressor","167662"
"Ookami-kun wa Yuzuranai","169526"
"I Adopted a Villainous Dad","159040"
"The Duke's Debt","168985"
"Being Loved for the First Time","165102"
"The Villainous Duke's Daughter's Special Method of Growing Rice","170144"
"When the Mad Emperor Embraces Me","168385"
"Marriage of a Doting Alpha and Stray Omega","168294"
"My Villainous Family Won't Let Me Be","169442"
"True Love Fades Away When the Contract Ends","140881"
"Juujun na Omega wa Yoru ni Tsume wo Tate","161768"
"I Caught Him Getting Off Online!","143925"
"Dear My Master","33147"
"I Was Tricked into this Fake Marriage!","147771"
"Hanaregatai Kemono","157449"
"Romance ni wa Hodo Tooi","141975"
"Futari no Musuko ni Nerawarete Imasu","54389"
"My Favourite Member","136073"
"Inkya na ga Futago Boku ni Aisareru Iyau","147360"
"Do Your Job, Incubus! Another Night of Naughty Service for You","146262"
"Hatsujou 5 Byou mae Ponkotsu Arasaa Airu san ga Î± no Ouji ni Aorarete Masu","156043"
"Hitomebore Shita Hito ga Do-M Datta Mono de","146146"
"Omega to Akuma no Sefure Jijou","141979"
"Ore to Joushi no Kakushikoto","102178"
"Osananajimi (â™‚) to no Arekore.","138784"
"Remnant: Kemonohito Omegaverse","108642"
"Reversal (Saejo)","151305"
"An Observation Log of My FiancÃ©e Who Calls Herself a Villainess","114300"
